K,hops,mode,avg_time_ms,med_time_ms,avg_trace_size,avg_verify_us,proof_rate,n_queries,n_traces,avg_candidates
5,1,sell,3.1351583401556127,2.990291999594774,0.0,4.202682668199906,0.95,100,104,1306.0
5,1,classic_lp,2.935289589804597,2.925291999417823,0.0,3.5152401883701363,0.95,100,104,1306.0
5,1,neural_only,0.6896016297105234,0.6753750058123842,0.0,0.0,0.0,100,0,1306.0
5,2,sell,6.169337110186461,6.033625002601184,1.0,6.7886436072476055,1.0,100,247,1306.0
5,2,classic_lp,5.611792949421215,5.5887909984448925,1.0,6.37046551390321,1.0,100,247,1306.0
5,2,neural_only,0.828944999811938,0.822041998617351,0.0,0.0,0.0,100,0,1306.0
5,3,sell,3.348733274924598,3.321292002510745,2.0,8.34279747818349,0.15,80,79,1306.0
5,3,classic_lp,3.2280968121085607,3.1872079998720437,2.0,8.490455669905,0.15,80,79,1306.0
5,3,neural_only,0.9076530633137736,0.909665999643039,0.0,0.0,0.0,80,0,1306.0
10,1,sell,3.0071284100267803,2.9860829963581637,0.0,3.4692345359069003,0.97,100,111,1306.0
10,1,classic_lp,2.908187519715284,2.8959579940419644,0.0,3.314198562162215,0.97,100,111,1306.0
10,1,neural_only,0.696171210729517,0.6748750020051375,0.0,0.0,0.0,100,0,1306.0
10,2,sell,6.162464959998033,6.067374997655861,1.0,8.101740980196578,1.0,100,247,1306.0
10,2,classic_lp,5.9443657904921565,5.777875005151145,1.0,7.577255195730671,1.0,100,247,1306.0
10,2,neural_only,0.8707404395681806,0.8462080004392192,0.0,0.0,0.0,100,0,1306.0
10,3,sell,3.4087151495441503,3.3671249984763563,2.0,8.674569448597635,0.15,80,79,1306.0
10,3,classic_lp,3.2292864369082963,3.206374996807426,2.0,8.549556615791884,0.15,80,79,1306.0
10,3,neural_only,0.9582411249539291,0.9076249989448115,0.0,0.0,0.0,80,0,1306.0
25,1,sell,3.365501649604994,3.2725830023991875,0.0,4.01206163683367,1.0,100,114,1306.0
25,1,classic_lp,2.9315828395920107,2.9206669933046214,0.0,3.4836046229190143,1.0,100,114,1306.0
25,1,neural_only,0.7930200004193466,0.7428750031976961,0.0,0.0,0.0,100,0,1306.0
25,2,sell,6.612914169963915,6.378165999194607,1.0,7.443501885512821,1.0,100,247,1306.0
25,2,classic_lp,5.866397510035313,5.700333000277169,1.0,7.4055100456992475,1.0,100,247,1306.0
25,2,neural_only,0.8357087096374016,0.8218330040108413,0.0,0.0,0.0,100,0,1306.0
25,3,sell,3.5933275747083826,3.5673750026035123,2.0,8.290322890995109,0.1875,80,96,1306.0
25,3,classic_lp,3.2037343369665905,3.1994999953894876,2.0,8.413614674888473,0.1875,80,96,1306.0
25,3,neural_only,0.9180723246572597,0.909624999621883,0.0,0.0,0.0,80,0,1306.0
50,1,sell,3.4794058500847314,3.4478340021451004,0.0,3.648017267104271,1.0,100,114,1306.0
50,1,classic_lp,2.966220810849336,2.9522090044338256,0.0,3.7759908305464736,1.0,100,114,1306.0
50,1,neural_only,0.7152746600331739,0.6974999996600673,0.0,0.0,0.0,100,0,1306.0
50,2,sell,6.9337571201322135,6.94979199761292,1.0,6.904846423980497,1.0,100,247,1306.0
50,2,classic_lp,5.624606649944326,5.587500003457535,1.0,6.438578963977274,1.0,100,247,1306.0
50,2,neural_only,0.8973154200793942,0.8969580012490042,0.0,0.0,0.0,100,0,1306.0
50,3,sell,4.112883875495754,3.9239580000867136,2.0,10.271639679558575,0.225,80,125,1306.0
50,3,classic_lp,3.227206312567432,3.2095830028993078,2.0,8.861360372975469,0.225,80,125,1306.0
50,3,neural_only,0.9461640751396772,0.938375000259839,0.0,0.0,0.0,80,0,1306.0
100,1,sell,3.936628360170289,3.9247090026037768,0.0,3.800473917324684,1.0,100,114,1306.0
100,1,classic_lp,3.0028445197240217,2.9715410055359825,0.0,3.937508281843181,1.0,100,114,1306.0
100,1,neural_only,0.7612274801067542,0.7536249977420084,0.0,0.0,0.0,100,0,1306.0
100,2,sell,8.264273760069045,7.896667004388291,1.0,8.282712456885243,1.0,100,247,1306.0
100,2,classic_lp,5.984007909937645,5.8789999966393225,1.0,7.8075264108288085,1.0,100,247,1306.0
100,2,neural_only,0.9927829903608654,0.8883749978849664,0.0,0.0,0.0,100,0,1306.0
100,3,sell,4.639609875448514,4.43466599972453,2.0,10.713872722011399,0.325,80,165,1306.0
100,3,classic_lp,3.495624437528022,3.3225000006495975,2.0,10.048048165062387,0.325,80,165,1306.0
100,3,neural_only,0.9887609126963071,0.9691249942989089,0.0,0.0,0.0,80,0,1306.0
