K,hops,sell_ms,lp_ms,overhead_pct,proof_rate,avg_trace_size,avg_verify_us
5,1,3.1351583401556127,2.935289589804597,6.809166327071694,0.95,0.0,4.202682668199906
5,2,6.169337110186461,5.611792949421215,9.935223301899441,1.0,1.0,6.7886436072476055
5,3,3.348733274924598,3.2280968121085607,3.7370769787179556,0.15,2.0,8.34279747818349
10,1,3.0071284100267803,2.908187519715284,3.4021496083300296,0.97,0.0,3.4692345359069003
10,2,6.162464959998033,5.9443657904921565,3.6690065381696377,1.0,1.0,8.101740980196578
10,3,3.4087151495441503,3.2292864369082963,5.556295984930908,0.15,2.0,8.674569448597635
25,1,3.365501649604994,2.9315828395920107,14.801519648456251,1.0,0.0,4.01206163683367
25,2,6.612914169963915,5.866397510035313,12.7252996178929,1.0,1.0,7.443501885512821
25,3,3.5933275747083826,3.2037343369665905,12.160597501685261,0.1875,2.0,8.290322890995109
50,1,3.4794058500847314,2.966220810849336,17.300972245840725,1.0,0.0,3.648017267104271
50,2,6.9337571201322135,5.624606649944326,23.275413760726643,1.0,1.0,6.904846423980497
50,3,4.112883875495754,3.227206312567432,27.444094896545785,0.225,2.0,10.271639679558575
100,1,3.936628360170289,3.0028445197240217,31.0966430100779,1.0,0.0,3.800473917324684
100,2,8.264273760069045,5.984007909937645,38.10599659042163,1.0,1.0,8.282712456885243
100,3,4.639609875448514,3.495624437528022,32.7262112496695,0.325,2.0,10.713872722011399
