K,hops,mode,hits1,f1,proof_rate,budget_overflow,total_traces,n_queries,time_s
5,1,sell,0.95,0.9407575757575757,0.95,0,104,100,0.3141329288482666
5,1,classic_lp,0.95,0.9407575757575757,0.95,0,104,100,0.3190140724182129
5,1,neural_only,0.91,0.5146385281385283,0.0,0,0,100,0.0680079460144043
5,2,sell,1.0,1.0,1.0,0,247,100,0.6214950084686279
5,2,classic_lp,1.0,1.0,1.0,0,247,100,0.5784430503845215
5,2,neural_only,0.01,0.0013333333333333333,0.0,0,0,100,0.08367729187011719
5,3,sell,0.15,0.050868635513123185,0.15,0,79,80,0.2669341564178467
5,3,classic_lp,0.15,0.050868635513123185,0.15,0,79,80,0.26721715927124023
5,3,neural_only,0.0,0.0,0.0,0,0,80,0.0684518814086914
10,1,sell,0.97,0.97,0.97,0,111,100,0.3011200428009033
10,1,classic_lp,0.97,0.97,0.97,0,111,100,0.29647207260131836
10,1,neural_only,0.78,0.3432806082806082,0.0,0,0,100,0.0644993782043457
10,2,sell,1.0,1.0,1.0,0,247,100,0.5896010398864746
10,2,classic_lp,1.0,1.0,1.0,0,247,100,0.6019229888916016
10,2,neural_only,0.01,0.0013333333333333333,0.0,0,0,100,0.08831787109375
10,3,sell,0.15,0.050868635513123185,0.15,0,79,80,0.2650020122528076
10,3,classic_lp,0.15,0.050868635513123185,0.15,0,79,80,0.2733650207519531
10,3,neural_only,0.0,0.0,0.0,0,0,80,0.06817007064819336
25,1,sell,1.0,1.0,1.0,0,114,100,0.32930517196655273
25,1,classic_lp,1.0,1.0,1.0,0,114,100,0.40962910652160645
25,1,neural_only,0.45,0.17106539110771432,0.0,0,0,100,0.0759730339050293
25,2,sell,1.0,1.0,1.0,0,247,100,0.6844501495361328
25,2,classic_lp,1.0,1.0,1.0,0,247,100,0.6148180961608887
25,2,neural_only,0.02,0.0033333333333333335,0.0,0,0,100,0.08166933059692383
25,3,sell,0.1875,0.07068582918901249,0.1875,0,96,80,0.29044294357299805
25,3,classic_lp,0.1875,0.07068582918901249,0.1875,0,96,80,0.2608928680419922
25,3,neural_only,0.1875,0.01520845877075214,0.0,0,0,80,0.06944990158081055
50,1,sell,1.0,1.0,1.0,0,114,100,0.3488738536834717
50,1,classic_lp,1.0,1.0,1.0,0,114,100,0.2980782985687256
50,1,neural_only,0.17,0.053059042481010434,0.0,0,0,100,0.06966614723205566
50,2,sell,1.0,1.0,1.0,0,247,100,0.681663990020752
50,2,classic_lp,1.0,1.0,1.0,0,247,100,0.5627729892730713
50,2,neural_only,0.02,0.0024444444444444444,0.0,0,0,100,0.08283329010009766
50,3,sell,0.225,0.09515537546162782,0.225,0,125,80,0.3050718307495117
50,3,classic_lp,0.225,0.09515537546162782,0.225,0,125,80,0.2515370845794678
50,3,neural_only,0.1375,0.008532354244787257,0.0,0,0,80,0.07469296455383301
100,1,sell,1.0,1.0,1.0,0,114,100,0.39766716957092285
100,1,classic_lp,1.0,1.0,1.0,0,114,100,0.2980208396911621
100,1,neural_only,0.06,0.043888888888888894,0.0,0,0,100,0.07074999809265137
100,2,sell,1.0,1.0,1.0,0,247,100,0.7745602130889893
100,2,classic_lp,1.0,1.0,1.0,0,247,100,0.5678391456604004
100,2,neural_only,0.02,0.006333333333333333,0.0,0,0,100,0.08357977867126465
100,3,sell,0.325,0.12151861747759507,0.325,0,165,80,0.3337130546569824
100,3,classic_lp,0.325,0.12151861747759507,0.325,0,165,80,0.255979061126709
100,3,neural_only,0.1125,0.01077768636592166,0.0,0,0,80,0.07079505920410156
